account_id,account_number,customer_id,institution_id,branch_id,product_id,open_date,close_date,account_status,currency,credit_limit,original_principal,is_joint_account
1,ACCT-00000001,1,2,88,3,2021-04-07,,Open,CAD,,,True
2,ACCT-00000002,1,2,64,8,2022-10-03,2025-01-14,Closed,CAD,7500,,False
3,ACCT-00000003,2,5,180,2,2022-02-11,,Open,CAD,,,False
4,ACCT-00000004,2,4,167,7,2022-02-11,,Open,CAD,1000,,False
5,ACCT-00000005,3,1,40,3,2025-09-29,,Open,CAD,,,False
6,ACCT-00000006,3,4,132,10,2025-09-29,,Open,CAD,,150000,False
7,ACCT-00000007,3,2,66,7,2025-09-29,,Open,CAD,3000,,False
8,ACCT-00000008,4,2,85,2,2024-09-11,,Open,CAD,,,False
9,ACCT-00000009,4,3,101,1,2024-09-11,,Open,CAD,,,False
10,ACCT-00000010,5,4,133,1,2022-09-16,2023-10-25,Closed,CAD,,,False
11,ACCT-00000011,6,4,157,1,2023-09-07,,Open,CAD,,,False
12,ACCT-00000012,6,3,126,6,2024-07-05,,Open,CAD,,,False
13,ACCT-00000013,7,6,217,3,2024-06-02,,Open,CAD,,,False
14,ACCT-00000014,7,6,221,1,2024-06-14,,Open,CAD,,,False
15,ACCT-00000015,7,6,209,12,2021-11-20,2024-01-18,Closed,CAD,,35000,False
16,ACCT-00000016,8,2,48,3,2021-07-28,,Open,CAD,,,False
17,ACCT-00000017,8,4,152,7,2020-07-28,,Open,CAD,5000,,False
18,ACCT-00000018,8,2,78,14,2021-11-13,,Dormant,CAD,,,False
19,ACCT-00000019,9,4,159,3,2025-11-04,,Open,CAD,,,False
20,ACCT-00000020,9,2,78,7,2025-11-04,,Open,CAD,3000,,False
21,ACCT-00000021,9,2,89,2,2025-11-04,,Open,CAD,,,False
22,ACCT-00000022,10,3,124,1,2023-06-10,,Open,CAD,,,False
23,ACCT-00000023,11,1,21,14,2022-08-05,,Open,CAD,,,False
24,ACCT-00000024,11,1,38,9,2021-03-01,,Open,CAD,10000,,False
